Name: Am Hang, Instruction: Head east on Am Hang, Distance: 52.8 meters, Time: 38.0 seconds
Name: Unterföhringer Straße, Instruction: Turn left onto Unterföhringer Straße, Distance: 129.0 meters, Time: 92.9 seconds
Name: Unterföhringer Straße, Instruction: Enter the roundabout and take the 1st exit onto Unterföhringer Straße, Distance: 808.6 meters, Time: 582.2 seconds
Name: Leuchtenbergstraße, Instruction: Turn right onto Leuchtenbergstraße, Distance: 200.6 meters, Time: 144.4 seconds
Name: Eschenstraße, Instruction: Continue straight onto Eschenstraße, Distance: 28.0 meters, Time: 20.2 seconds
Name: Eschenstraße, Instruction: Turn right onto Eschenstraße, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 116.4 meters, Time: 83.8 seconds
Name: -, Instruction: Turn right, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 195.4 meters, Time: 140.7 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.7 seconds
Name: -, Instruction: Turn right, Distance: 27.3 meters, Time: 19.7 seconds
Name: Osterfeldstraße, Instruction: Turn right onto Osterfeldstraße, Distance: 568.7 meters, Time: 409.5 seconds
Name: Osterfeldstraße, Instruction: Enter the roundabout and take the 2nd exit onto Osterfeldstraße, Distance: 147.3 meters, Time: 106.0 seconds
Name: -, Instruction: Arrive at Osterfeldstraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
