Name: Helene-Mayer-Ring, Instruction: Head west on Helene-Mayer-Ring, Distance: 84.8 meters, Time: 61.1 seconds
Name: Straßbergerstraße, Instruction: Continue straight onto Straßbergerstraße, Distance: 57.1 meters, Time: 41.1 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: Straßbergerstraße, Instruction: Turn right onto Straßbergerstraße, Distance: 94.9 meters, Time: 68.3 seconds
Name: -, Instruction: Turn left, Distance: 124.1 meters, Time: 89.3 seconds
Name: -, Instruction: Turn left, Distance: 43.0 meters, Time: 31.0 seconds
Name: -, Instruction: Turn slight right, Distance: 63.8 meters, Time: 46.0 seconds
Name: -, Instruction: Turn right, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn left, Distance: 43.0 meters, Time: 30.9 seconds
Name: -, Instruction: Turn left, Distance: 53.9 meters, Time: 38.8 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn slight right, Distance: 68.1 meters, Time: 49.0 seconds
Name: -, Instruction: Turn right, Distance: 42.2 meters, Time: 30.4 seconds
Name: -, Instruction: Turn right, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn slight left, Distance: 82.9 meters, Time: 59.7 seconds
Name: Kusocinskidamm, Instruction: Turn slight right onto Kusocinskidamm, Distance: 469.2 meters, Time: 337.8 seconds
Name: -, Instruction: Keep left, Distance: 57.6 meters, Time: 41.5 seconds
Name: -, Instruction: Turn slight left, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn right, Distance: 71.6 meters, Time: 51.5 seconds
Name: -, Instruction: Turn slight left, Distance: 144.9 meters, Time: 104.3 seconds
Name: -, Instruction: Turn right, Distance: 326.5 meters, Time: 235.1 seconds
Name: -, Instruction: Continue straight, Distance: 163.8 meters, Time: 117.9 seconds
Name: -, Instruction: Turn left, Distance: 27.1 meters, Time: 19.5 seconds
Name: -, Instruction: Turn left, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn right, Distance: 192.0 meters, Time: 138.2 seconds
Name: -, Instruction: Turn left, Distance: 14.1 meters, Time: 10.2 seconds
Name: -, Instruction: Turn right, Distance: 138.9 meters, Time: 100.0 seconds
Name: Claudiusplatz, Instruction: Turn right onto Claudiusplatz, Distance: 0.9 meters, Time: 0.7 seconds
Name: -, Instruction: Arrive at Claudiusplatz, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
