Name: Zugspitzstraße, Instruction: Head southwest on Zugspitzstraße, Distance: 108.3 meters, Time: 78.0 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 116.1 meters, Time: 83.6 seconds
Name: -, Instruction: Keep left, Distance: 6.5 meters, Time: 4.7 seconds
Name: Wendelsteinstraße, Instruction: Turn right onto Wendelsteinstraße, Distance: 352.3 meters, Time: 253.6 seconds
Name: Am Bergsteig, Instruction: Turn right onto Am Bergsteig, Distance: 65.3 meters, Time: 47.0 seconds
Name: -, Instruction: Turn left, Distance: 40.1 meters, Time: 28.9 seconds
Name: -, Instruction: Keep left, Distance: 49.6 meters, Time: 35.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 48.0 meters, Time: 34.6 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: Kolumbusplatz, Instruction: Turn left onto Kolumbusplatz, Distance: 8.5 meters, Time: 6.1 seconds
Name: Kolumbusplatz, Instruction: Turn right onto Kolumbusplatz, Distance: 57.1 meters, Time: 41.1 seconds
Name: -, Instruction: Turn left, Distance: 13.3 meters, Time: 9.6 seconds
Name: Humboldtstraße, Instruction: Turn right onto Humboldtstraße, Distance: 813.4 meters, Time: 585.6 seconds
Name: Wittelsbacherstraße, Instruction: Turn sharp left onto Wittelsbacherstraße, Distance: 172.2 meters, Time: 124.0 seconds
Name: -, Instruction: Keep left, Distance: 208.1 meters, Time: 149.8 seconds
Name: Hefner-Alteneck-Straße, Instruction: Turn right onto Hefner-Alteneck-Straße, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn left, Distance: 76.1 meters, Time: 54.8 seconds
Name: -, Instruction: Turn left, Distance: 106.0 meters, Time: 76.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
