Name: Landshuter Allee, Instruction: Head north on Landshuter Allee, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 44.2 meters, Time: 31.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 43.5 meters, Time: 31.3 seconds
Name: Frundsbergstraße, Instruction: Turn right onto Frundsbergstraße, Distance: 54.0 meters, Time: 38.9 seconds
Name: Ysenburgstraße, Instruction: Turn left onto Ysenburgstraße, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 121.1 meters, Time: 87.2 seconds
Name: -, Instruction: Turn left, Distance: 55.9 meters, Time: 40.2 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: Volkartstraße, Instruction: Turn left onto Volkartstraße, Distance: 668.5 meters, Time: 481.3 seconds
Name: Aiblingerstraße, Instruction: Turn right onto Aiblingerstraße, Distance: 298.4 meters, Time: 214.8 seconds
Name: Rondell Neuwittelsbach, Instruction: Turn left onto Rondell Neuwittelsbach, Distance: 76.8 meters, Time: 55.3 seconds
Name: -, Instruction: Turn left, Distance: 155.2 meters, Time: 111.7 seconds
Name: -, Instruction: Turn slight left, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn right, Distance: 625.5 meters, Time: 450.4 seconds
Name: -, Instruction: Turn right, Distance: 47.5 meters, Time: 34.2 seconds
Name: -, Instruction: Turn right, Distance: 15.8 meters, Time: 11.4 seconds
Name: Romanstraße, Instruction: Turn left onto Romanstraße, Distance: 187.7 meters, Time: 135.2 seconds
Name: -, Instruction: Turn right, Distance: 49.4 meters, Time: 35.5 seconds
Name: -, Instruction: Turn right, Distance: 38.3 meters, Time: 27.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
