Name: Risserkogelstraße, Instruction: Head south on Risserkogelstraße, Distance: 176.8 meters, Time: 127.3 seconds
Name: -, Instruction: Turn slight left, Distance: 19.1 meters, Time: 13.8 seconds
Name: -, Instruction: Continue straight, Distance: 146.6 meters, Time: 105.6 seconds
Name: -, Instruction: Turn left, Distance: 98.8 meters, Time: 71.1 seconds
Name: -, Instruction: Keep right, Distance: 96.7 meters, Time: 69.6 seconds
Name: -, Instruction: Turn right, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn left, Distance: 43.6 meters, Time: 31.4 seconds
Name: -, Instruction: Turn left, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Keep right, Distance: 29.1 meters, Time: 20.9 seconds
Name: -, Instruction: Keep left, Distance: 53.0 meters, Time: 38.2 seconds
Name: -, Instruction: Turn slight left, Distance: 533.8 meters, Time: 384.3 seconds
Name: -, Instruction: Turn right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 33.4 meters, Time: 24.1 seconds
Name: -, Instruction: Turn slight left, Distance: 513.7 meters, Time: 369.8 seconds
Name: -, Instruction: Turn slight right, Distance: 130.9 meters, Time: 94.3 seconds
Name: -, Instruction: Continue straight, Distance: 71.9 meters, Time: 51.8 seconds
Name: -, Instruction: Keep left, Distance: 96.9 meters, Time: 69.8 seconds
Name: Staudingerstraße, Instruction: Turn right onto Staudingerstraße, Distance: 289.9 meters, Time: 208.8 seconds
Name: -, Instruction: Turn left, Distance: 82.9 meters, Time: 59.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
