Name: Anna-Strohmaier-Weg, Instruction: Head east on Anna-Strohmaier-Weg, Distance: 9.0 meters, Time: 6.5 seconds
Name: Baumkirchner Straße, Instruction: Turn left onto Baumkirchner Straße, Distance: 282.7 meters, Time: 203.5 seconds
Name: -, Instruction: Keep left, Distance: 747.8 meters, Time: 538.4 seconds
Name: -, Instruction: Continue straight, Distance: 19.0 meters, Time: 13.7 seconds
Name: -, Instruction: Turn left, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn slight right, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 510.3 meters, Time: 367.4 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Keep right, Distance: 53.9 meters, Time: 38.8 seconds
Name: -, Instruction: Turn right, Distance: 46.3 meters, Time: 33.3 seconds
Name: -, Instruction: Keep left, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn slight left, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Keep right, Distance: 62.2 meters, Time: 44.8 seconds
Name: Ina-Seidel-Bogen, Instruction: Turn right onto Ina-Seidel-Bogen, Distance: 22.1 meters, Time: 15.9 seconds
Name: -, Instruction: Turn right, Distance: 53.2 meters, Time: 38.3 seconds
Name: -, Instruction: Turn right, Distance: 37.6 meters, Time: 27.1 seconds
Name: -, Instruction: Turn left, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Keep right, Distance: 31.7 meters, Time: 22.8 seconds
Name: -, Instruction: Turn right, Distance: 77.7 meters, Time: 55.9 seconds
Name: Stefan-George-Ring, Instruction: Turn left onto Stefan-George-Ring, Distance: 183.0 meters, Time: 131.7 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
