Name: Helene-Wessel-Bogen, Instruction: Head south on Helene-Wessel-Bogen, Distance: 49.9 meters, Time: 35.9 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 26.9 meters, Time: 19.3 seconds
Name: Maria-Probst-Straße, Instruction: Turn slight right onto Maria-Probst-Straße, Distance: 302.0 meters, Time: 217.4 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: Maria-Probst-Straße, Instruction: Turn right onto Maria-Probst-Straße, Distance: 7.1 meters, Time: 5.1 seconds
Name: Maria-Probst-Straße, Instruction: Keep left onto Maria-Probst-Straße, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.5 seconds
Name: Maria-Probst-Straße, Instruction: Turn right onto Maria-Probst-Straße, Distance: 7.7 meters, Time: 5.5 seconds
Name: Maria-Probst-Straße, Instruction: Keep left onto Maria-Probst-Straße, Distance: 226.9 meters, Time: 163.4 seconds
Name: Ingolstädter Straße, Instruction: Turn slight left onto Ingolstädter Straße, Distance: 318.4 meters, Time: 229.2 seconds
Name: Frankfurter Ring, Instruction: Turn slight left onto Frankfurter Ring, Distance: 936.4 meters, Time: 674.2 seconds
Name: Frankfurter Ring, Instruction: Continue straight onto Frankfurter Ring, Distance: 387.5 meters, Time: 279.0 seconds
Name: -, Instruction: Keep right, Distance: 642.7 meters, Time: 462.7 seconds
Name: Ungererstraße, Instruction: Turn sharp right onto Ungererstraße, Distance: 6.9 meters, Time: 4.9 seconds
Name: Frankfurter Ring, Instruction: Turn sharp left onto Frankfurter Ring, Distance: 38.1 meters, Time: 27.4 seconds
Name: -, Instruction: Arrive at Frankfurter Ring, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
