Name: Raublinger Straße, Instruction: Head west on Raublinger Straße, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn left, Distance: 89.2 meters, Time: 64.2 seconds
Name: Droste-Hülshoff-Straße, Instruction: Turn left onto Droste-Hülshoff-Straße, Distance: 116.5 meters, Time: 83.9 seconds
Name: Westendstraße, Instruction: Turn right onto Westendstraße, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 28.1 meters, Time: 20.3 seconds
Name: -, Instruction: Turn right, Distance: 403.4 meters, Time: 290.4 seconds
Name: -, Instruction: Turn left, Distance: 35.6 meters, Time: 25.6 seconds
Name: -, Instruction: Keep right, Distance: 21.0 meters, Time: 15.1 seconds
Name: -, Instruction: Keep right, Distance: 73.8 meters, Time: 53.1 seconds
Name: -, Instruction: Keep right, Distance: 28.8 meters, Time: 20.7 seconds
Name: -, Instruction: Keep left, Distance: 62.8 meters, Time: 45.2 seconds
Name: -, Instruction: Keep right, Distance: 55.2 meters, Time: 39.7 seconds
Name: -, Instruction: Keep right, Distance: 52.7 meters, Time: 38.0 seconds
Name: -, Instruction: Keep right, Distance: 126.2 meters, Time: 90.9 seconds
Name: -, Instruction: Keep right, Distance: 59.5 meters, Time: 42.9 seconds
Name: -, Instruction: Keep right, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn right, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn right, Distance: 41.5 meters, Time: 29.9 seconds
Name: -, Instruction: Keep right, Distance: 74.9 meters, Time: 53.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
