Name: Am Schützeneck, Instruction: Head south on Am Schützeneck, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 149.7 meters, Time: 107.8 seconds
Name: Pasinger Promenade, Instruction: Turn slight left onto Pasinger Promenade, Distance: 18.9 meters, Time: 13.6 seconds
Name: Pasinger Promenade, Instruction: Turn slight right onto Pasinger Promenade, Distance: 23.1 meters, Time: 16.6 seconds
Name: -, Instruction: Turn left, Distance: 28.6 meters, Time: 20.6 seconds
Name: -, Instruction: Turn left, Distance: 191.7 meters, Time: 138.0 seconds
Name: -, Instruction: Turn left, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Turn left, Distance: 67.0 meters, Time: 48.3 seconds
Name: Nimmerfallstraße, Instruction: Turn right onto Nimmerfallstraße, Distance: 520.1 meters, Time: 374.5 seconds
Name: Baumbachstraße, Instruction: Turn sharp right onto Baumbachstraße, Distance: 52.1 meters, Time: 37.5 seconds
Name: -, Instruction: Turn left, Distance: 213.2 meters, Time: 153.5 seconds
Name: Erna-Eckstein-Straße, Instruction: Turn right onto Erna-Eckstein-Straße, Distance: 30.7 meters, Time: 22.1 seconds
Name: -, Instruction: Turn left, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn right, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn right, Distance: 60.0 meters, Time: 43.2 seconds
Name: -, Instruction: Turn slight left, Distance: 27.9 meters, Time: 20.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
