Name: Knotestraße, Instruction: Head south on Knotestraße, Distance: 48.0 meters, Time: 34.6 seconds
Name: -, Instruction: Turn left, Distance: 138.9 meters, Time: 100.0 seconds
Name: -, Instruction: Turn left, Distance: 259.7 meters, Time: 187.0 seconds
Name: Großhesseloher Straße, Instruction: Turn left onto Großhesseloher Straße, Distance: 85.0 meters, Time: 61.2 seconds
Name: Höllerer Berg, Instruction: Turn right onto Höllerer Berg, Distance: 105.7 meters, Time: 76.1 seconds
Name: -, Instruction: Turn right, Distance: 129.4 meters, Time: 93.1 seconds
Name: -, Instruction: Turn left, Distance: 260.5 meters, Time: 187.6 seconds
Name: -, Instruction: Turn right, Distance: 26.6 meters, Time: 19.2 seconds
Name: -, Instruction: Turn slight right, Distance: 43.1 meters, Time: 31.0 seconds
Name: -, Instruction: Keep left, Distance: 90.0 meters, Time: 64.8 seconds
Name: Wunderhornstraße, Instruction: Continue straight onto Wunderhornstraße, Distance: 187.8 meters, Time: 135.2 seconds
Name: -, Instruction: Arrive at Wunderhornstraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
