Name: Bachmairstraße, Instruction: Head northwest on Bachmairstraße, Distance: 165.7 meters, Time: 119.3 seconds
Name: Maria-Eich-Straße, Instruction: Turn left onto Maria-Eich-Straße, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 7.3 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 43.6 meters, Time: 31.4 seconds
Name: -, Instruction: Turn left, Distance: 33.7 meters, Time: 24.2 seconds
Name: -, Instruction: Keep left, Distance: 120.7 meters, Time: 86.9 seconds
Name: Omptedastraße, Instruction: Turn right onto Omptedastraße, Distance: 30.5 meters, Time: 21.9 seconds
Name: -, Instruction: Turn left, Distance: 36.1 meters, Time: 26.0 seconds
Name: -, Instruction: Turn right, Distance: 31.4 meters, Time: 22.6 seconds
Name: -, Instruction: Turn right, Distance: 32.3 meters, Time: 23.2 seconds
Name: -, Instruction: Turn right, Distance: 23.3 meters, Time: 16.7 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 66.9 meters, Time: 48.2 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.6 seconds
Name: Betschartstraße, Instruction: Turn slight left onto Betschartstraße, Distance: 200.8 meters, Time: 144.6 seconds
Name: Bodenseestraße, Instruction: Turn left onto Bodenseestraße, Distance: 57.0 meters, Time: 41.0 seconds
Name: -, Instruction: Turn right, Distance: 130.1 meters, Time: 93.7 seconds
Name: Aubinger Straße, St 2345, Instruction: Turn slight right onto Aubinger Straße, St 2345, Distance: 164.0 meters, Time: 118.1 seconds
Name: -, Instruction: Turn right, Distance: 386.6 meters, Time: 278.3 seconds
Name: -, Instruction: Turn right, Distance: 134.2 meters, Time: 96.6 seconds
Name: Schwetzingenstraße, Instruction: Turn left onto Schwetzingenstraße, Distance: 27.8 meters, Time: 20.0 seconds
Name: -, Instruction: Arrive at Schwetzingenstraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
