Name: Donaustaufer Straße, Instruction: Head south on Donaustaufer Straße, Distance: 1.0 meters, Time: 0.7 seconds
Name: Eininger Straße, Instruction: Turn right onto Eininger Straße, Distance: 199.8 meters, Time: 143.9 seconds
Name: Abensbergstraße, Instruction: Turn left onto Abensbergstraße, Distance: 507.6 meters, Time: 365.5 seconds
Name: -, Instruction: Keep left, Distance: 265.0 meters, Time: 190.8 seconds
Name: -, Instruction: Turn left, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Keep right, Distance: 54.3 meters, Time: 39.1 seconds
Name: -, Instruction: Turn left, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Keep left, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Continue straight, Distance: 89.7 meters, Time: 64.6 seconds
Name: Bunzlauer Straße, Instruction: Turn right onto Bunzlauer Straße, Distance: 85.8 meters, Time: 61.8 seconds
Name: Bunzlauer Platz, Instruction: Turn slight left onto Bunzlauer Platz, Distance: 35.7 meters, Time: 25.7 seconds
Name: Großbeerenstraße, Instruction: Turn left onto Großbeerenstraße, Distance: 115.7 meters, Time: 83.3 seconds
Name: -, Instruction: Turn right, Distance: 26.5 meters, Time: 19.1 seconds
Name: -, Instruction: Turn left, Distance: 17.3 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 23.7 meters, Time: 17.1 seconds
Name: -, Instruction: Turn right, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
