Name: Rushaimerstraße, Instruction: Head northeast on Rushaimerstraße, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 203.2 meters, Time: 146.3 seconds
Name: Agricolastraße, Instruction: Turn sharp left onto Agricolastraße, Distance: 22.4 meters, Time: 16.2 seconds
Name: -, Instruction: Turn right, Distance: 86.5 meters, Time: 62.3 seconds
Name: Kleinhaderner Straße, Instruction: Turn left onto Kleinhaderner Straße, Distance: 515.2 meters, Time: 371.0 seconds
Name: Krokusstraße, Instruction: Turn right onto Krokusstraße, Distance: 441.4 meters, Time: 317.8 seconds
Name: Terofalstraße, Instruction: Continue straight onto Terofalstraße, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn left, Distance: 158.2 meters, Time: 113.9 seconds
Name: Rolf-Pinegger-Straße, Instruction: Turn right onto Rolf-Pinegger-Straße, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn left, Distance: 31.0 meters, Time: 22.3 seconds
Name: -, Instruction: Turn left, Distance: 22.1 meters, Time: 15.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
