Name: Georg-Maurer-Platz, Instruction: Head south on Georg-Maurer-Platz, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Keep left, Distance: 31.1 meters, Time: 22.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 117.4 meters, Time: 84.5 seconds
Name: -, Instruction: Keep left, Distance: 252.2 meters, Time: 181.5 seconds
Name: Walter-Heerde-Weg, Instruction: Turn left onto Walter-Heerde-Weg, Distance: 121.4 meters, Time: 87.4 seconds
Name: Schneckenburgerstraße, Instruction: Turn right onto Schneckenburgerstraße, Distance: 7.6 meters, Time: 5.5 seconds
Name: Schneckenburgerstraße, Instruction: Turn left onto Schneckenburgerstraße, Distance: 33.0 meters, Time: 23.7 seconds
Name: Nigerstraße, Instruction: Continue straight onto Nigerstraße, Distance: 87.0 meters, Time: 62.6 seconds
Name: Zumpestraße, Instruction: Turn right onto Zumpestraße, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 132.3 meters, Time: 95.3 seconds
Name: -, Instruction: Turn left, Distance: 25.2 meters, Time: 18.2 seconds
Name: Prinzregentenplatz, Instruction: Turn right onto Prinzregentenplatz, Distance: 39.1 meters, Time: 28.2 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Keep right, Distance: 28.8 meters, Time: 20.7 seconds
Name: -, Instruction: Turn right, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn right, Distance: 0.6 meters, Time: 0.4 seconds
Name: -, Instruction: Keep left, Distance: 21.2 meters, Time: 15.3 seconds
Name: Prinzregentenplatz, Instruction: Turn left onto Prinzregentenplatz, Distance: 37.3 meters, Time: 26.8 seconds
Name: -, Instruction: Continue straight, Distance: 58.3 meters, Time: 42.0 seconds
Name: -, Instruction: Keep right, Distance: 456.5 meters, Time: 328.7 seconds
Name: -, Instruction: Turn right, Distance: 58.7 meters, Time: 42.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
