Name: Hans-Keis-Straße, Instruction: Head northeast on Hans-Keis-Straße, Distance: 39.4 meters, Time: 28.4 seconds
Name: Promenadeweg, Instruction: Turn right onto Promenadeweg, Distance: 112.8 meters, Time: 81.2 seconds
Name: Promenadeweg, Instruction: Turn slight left onto Promenadeweg, Distance: 3.1 meters, Time: 2.2 seconds
Name: Kreuzeckstraße, Instruction: Turn left onto Kreuzeckstraße, Distance: 465.9 meters, Time: 335.5 seconds
Name: -, Instruction: Turn slight left, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: Fritz-Gerlich-Straße, Instruction: Turn right onto Fritz-Gerlich-Straße, Distance: 308.1 meters, Time: 221.8 seconds
Name: Großhesseloher Straße, Instruction: Turn slight left onto Großhesseloher Straße, Distance: 98.2 meters, Time: 70.7 seconds
Name: -, Instruction: Turn left, Distance: 15.9 meters, Time: 11.5 seconds
Name: -, Instruction: Keep right, Distance: 109.8 meters, Time: 79.0 seconds
Name: -, Instruction: Turn slight right, Distance: 180.2 meters, Time: 129.8 seconds
Name: Großhesseloher Straße, Instruction: Turn left onto Großhesseloher Straße, Distance: 205.4 meters, Time: 147.9 seconds
Name: -, Instruction: Turn left, Distance: 26.8 meters, Time: 19.3 seconds
Name: Knotestraße, Instruction: Turn right onto Knotestraße, Distance: 127.2 meters, Time: 91.6 seconds
Name: -, Instruction: Arrive at Knotestraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
