Name: Rue Debelleyme, Instruction: Head southwest on Rue Debelleyme, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Turn left, Distance: 50.6 meters, Time: 36.4 seconds
Name: -, Instruction: Turn right, Distance: 1.3 meters, Time: 0.9 seconds
Name: -, Instruction: Keep left, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn right, Distance: 27.1 meters, Time: 19.5 seconds
Name: -, Instruction: Turn slight left, Distance: 103.9 meters, Time: 74.8 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Keep left, Distance: 4.2 meters, Time: 3.0 seconds
Name: Rue de Poitou, Instruction: Turn right onto Rue de Poitou, Distance: 66.5 meters, Time: 47.9 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Keep right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 170.1 meters, Time: 122.5 seconds
Name: -, Instruction: Turn right, Distance: 132.2 meters, Time: 95.2 seconds
Name: -, Instruction: Turn left, Distance: 10.6 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 148.0 meters, Time: 106.5 seconds
Name: -, Instruction: Turn right, Distance: 138.5 meters, Time: 99.7 seconds
Name: -, Instruction: Turn left, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 2.6 meters, Time: 1.9 seconds
Name: Rue du Temple, Instruction: Turn left onto Rue du Temple, Distance: 32.0 meters, Time: 23.1 seconds
Name: -, Instruction: Arrive at Rue du Temple, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
