Name: Route de la Porte des Sablons à la Porte Maillot, Instruction: Head west on Route de la Porte des Sablons à la Porte Maillot, Distance: 24.2 meters, Time: 17.4 seconds
Name: -, Instruction: Turn right, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 349.8 meters, Time: 251.9 seconds
Name: -, Instruction: Turn right, Distance: 64.9 meters, Time: 46.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 24.5 meters, Time: 17.7 seconds
Name: -, Instruction: Turn slight left, Distance: 65.6 meters, Time: 47.2 seconds
Name: -, Instruction: Turn left, Distance: 53.7 meters, Time: 38.7 seconds
Name: -, Instruction: Turn right, Distance: 36.0 meters, Time: 25.9 seconds
Name: -, Instruction: Turn left, Distance: 28.6 meters, Time: 20.6 seconds
Name: Place de la Porte Maillot, Instruction: Turn right onto Place de la Porte Maillot, Distance: 222.7 meters, Time: 160.4 seconds
Name: -, Instruction: Turn left, Distance: 18.4 meters, Time: 13.2 seconds
Name: Boulevard Pereire, Instruction: Turn right onto Boulevard Pereire, Distance: 24.0 meters, Time: 17.3 seconds
Name: Boulevard Pereire, Instruction: Turn left onto Boulevard Pereire, Distance: 37.6 meters, Time: 27.1 seconds
Name: -, Instruction: Turn left, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Turn left, Distance: 26.8 meters, Time: 19.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
