Name: Boulevard Richard-Lenoir, Instruction: Head south on Boulevard Richard-Lenoir, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 82.6 meters, Time: 59.5 seconds
Name: -, Instruction: Turn slight left, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn right, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn right, Distance: 35.6 meters, Time: 25.7 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: Rue Daval, Instruction: Turn left onto Rue Daval, Distance: 36.7 meters, Time: 26.4 seconds
Name: Cour Damoye, Instruction: Turn right onto Cour Damoye, Distance: 279.0 meters, Time: 200.9 seconds
Name: -, Instruction: Turn left, Distance: 67.1 meters, Time: 48.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Keep left, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Turn left, Distance: 61.1 meters, Time: 44.0 seconds
Name: -, Instruction: Turn slight right, Distance: 382.7 meters, Time: 275.6 seconds
Name: -, Instruction: Keep right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
