Name: Avenue Gallieni, Instruction: Head west on Avenue Gallieni, Distance: 122.8 meters, Time: 88.4 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 74.2 meters, Time: 53.4 seconds
Name: -, Instruction: Turn right, Distance: 285.6 meters, Time: 205.6 seconds
Name: -, Instruction: Turn left, Distance: 57.5 meters, Time: 41.4 seconds
Name: -, Instruction: Turn left, Distance: 56.0 meters, Time: 40.3 seconds
Name: -, Instruction: Turn left, Distance: 34.9 meters, Time: 25.1 seconds
Name: -, Instruction: Turn right, Distance: 160.6 meters, Time: 115.7 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.2 seconds
Name: Rue de la Voûte, Instruction: Turn right onto Rue de la Voûte, Distance: 34.9 meters, Time: 25.1 seconds
Name: -, Instruction: Arrive at Rue de la Voûte, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
