Name: Rue des Fontaines du Temple, Instruction: Head west on Rue des Fontaines du Temple, Distance: 97.3 meters, Time: 70.0 seconds
Name: Rue de Turbigo, Instruction: Continue straight onto Rue de Turbigo, Distance: 37.4 meters, Time: 26.9 seconds
Name: -, Instruction: Turn right, Distance: 2.3 meters, Time: 1.6 seconds
Name: -, Instruction: Turn left, Distance: 33.2 meters, Time: 23.9 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 7.3 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 93.0 meters, Time: 67.0 seconds
Name: -, Instruction: Turn left, Distance: 71.3 meters, Time: 51.3 seconds
Name: -, Instruction: Keep left, Distance: 138.1 meters, Time: 99.5 seconds
Name: -, Instruction: Turn right, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn right, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 84.3 meters, Time: 60.7 seconds
Name: -, Instruction: Turn right, Distance: 43.9 meters, Time: 31.6 seconds
Name: -, Instruction: Turn left, Distance: 22.9 meters, Time: 16.5 seconds
Name: -, Instruction: Turn right, Distance: 39.5 meters, Time: 28.4 seconds
Name: -, Instruction: Turn right, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Turn left, Distance: 28.3 meters, Time: 20.4 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 24.2 meters, Time: 17.5 seconds
Name: -, Instruction: Turn left, Distance: 68.1 meters, Time: 49.0 seconds
Name: -, Instruction: Keep right, Distance: 38.0 meters, Time: 27.3 seconds
Name: -, Instruction: Turn right, Distance: 124.4 meters, Time: 89.6 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
