Name: Avenue Léon Bollée, Instruction: Head southwest on Avenue Léon Bollée, Distance: 234.4 meters, Time: 168.8 seconds
Name: Avenue de la Porte d'Italie, Instruction: Turn right onto Avenue de la Porte d'Italie, Distance: 6.8 meters, Time: 4.9 seconds
Name: Rue Paul Bourget, Instruction: Turn left onto Rue Paul Bourget, Distance: 42.2 meters, Time: 30.4 seconds
Name: -, Instruction: Turn right, Distance: 122.7 meters, Time: 88.3 seconds
Name: -, Instruction: Turn slight left, Distance: 60.5 meters, Time: 43.6 seconds
Name: -, Instruction: Turn left, Distance: 23.5 meters, Time: 16.9 seconds
Name: -, Instruction: Turn right, Distance: 95.2 meters, Time: 68.5 seconds
Name: -, Instruction: Turn right, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 121.7 meters, Time: 87.6 seconds
Name: -, Instruction: Turn left, Distance: 113.5 meters, Time: 81.7 seconds
Name: -, Instruction: Turn left, Distance: 33.2 meters, Time: 23.9 seconds
Name: -, Instruction: Turn right, Distance: 106.3 meters, Time: 76.5 seconds
Name: -, Instruction: Keep right, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Keep right, Distance: 0.6 meters, Time: 0.4 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
