Name: Avenue Dutuit, Instruction: Head north on Avenue Dutuit, Distance: 201.4 meters, Time: 145.0 seconds
Name: -, Instruction: Turn left, Distance: 94.6 meters, Time: 68.1 seconds
Name: -, Instruction: Continue straight, Distance: 328.4 meters, Time: 236.5 seconds
Name: -, Instruction: Turn right, Distance: 34.6 meters, Time: 24.9 seconds
Name: -, Instruction: Turn right, Distance: 29.6 meters, Time: 21.3 seconds
Name: -, Instruction: Turn left, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Keep left, Distance: 18.0 meters, Time: 13.0 seconds
Name: -, Instruction: Turn slight left, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn left, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn slight left, Distance: 45.2 meters, Time: 32.6 seconds
Name: Promenade des Champs-Élysées, Instruction: Turn slight left onto Promenade des Champs-Élysées, Distance: 69.8 meters, Time: 50.2 seconds
Name: -, Instruction: Turn right, Distance: 11.6 meters, Time: 8.3 seconds
Name: -, Instruction: Turn left, Distance: 247.3 meters, Time: 178.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
