Name: Rue Talma, Instruction: Head northeast on Rue Talma, Distance: 96.2 meters, Time: 69.3 seconds
Name: Rue Bois-le-Vent, Instruction: Turn right onto Rue Bois-le-Vent, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 65.9 meters, Time: 47.5 seconds
Name: -, Instruction: Turn slight left, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 9.8 meters, Time: 7.0 seconds
Name: Place de Passy, Instruction: Continue straight onto Place de Passy, Distance: 8.4 meters, Time: 6.0 seconds
Name: Place de Passy, Instruction: Keep left onto Place de Passy, Distance: 33.7 meters, Time: 24.2 seconds
Name: -, Instruction: Turn right, Distance: 144.0 meters, Time: 103.7 seconds
Name: -, Instruction: Turn left, Distance: 96.5 meters, Time: 69.5 seconds
Name: -, Instruction: Keep left, Distance: 19.8 meters, Time: 14.2 seconds
Name: -, Instruction: Turn slight left, Distance: 229.3 meters, Time: 165.1 seconds
Name: -, Instruction: Turn right, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 22.3 meters, Time: 16.1 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn right, Distance: 101.2 meters, Time: 72.8 seconds
Name: Rue Marietta Alboni, Instruction: Turn slight right onto Rue Marietta Alboni, Distance: 109.0 meters, Time: 78.5 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn left, Distance: 20.2 meters, Time: 14.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 270.5 meters, Time: 194.8 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn right, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn right, Distance: 237.6 meters, Time: 171.1 seconds
Name: -, Instruction: Keep right, Distance: 174.4 meters, Time: 125.6 seconds
Name: -, Instruction: Keep left, Distance: 74.2 meters, Time: 53.4 seconds
Name: -, Instruction: Keep right, Distance: 153.6 meters, Time: 110.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
