Name: Passage Maigrot Delaunay, Instruction: Head north on Passage Maigrot Delaunay, Distance: 71.7 meters, Time: 51.6 seconds
Name: -, Instruction: Turn right, Distance: 65.9 meters, Time: 47.4 seconds
Name: -, Instruction: Turn left, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn slight left, Distance: 92.1 meters, Time: 66.3 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: Rue de Buzenval, Instruction: Turn left onto Rue de Buzenval, Distance: 128.9 meters, Time: 92.8 seconds
Name: -, Instruction: Turn right, Distance: 60.8 meters, Time: 43.8 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.2 seconds
Name: Rue des Haies, Instruction: Turn right onto Rue des Haies, Distance: 422.5 meters, Time: 304.2 seconds
Name: -, Instruction: Turn left, Distance: 160.9 meters, Time: 115.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 66.5 meters, Time: 47.9 seconds
Name: -, Instruction: Turn slight right, Distance: 483.8 meters, Time: 348.3 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 70.1 meters, Time: 50.5 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 162.0 meters, Time: 116.7 seconds
Name: -, Instruction: Turn slight left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Keep left, Distance: 36.7 meters, Time: 26.4 seconds
Name: -, Instruction: Turn slight right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.1 seconds
Name: -, Instruction: Turn slight right, Distance: 199.0 meters, Time: 143.3 seconds
Name: -, Instruction: Keep left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Keep left, Distance: 4.1 meters, Time: 3.0 seconds
Name: Rue de la Bidassoa, Instruction: Turn right onto Rue de la Bidassoa, Distance: 108.1 meters, Time: 77.8 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Keep left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn slight left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Keep left, Distance: 135.8 meters, Time: 97.8 seconds
Name: -, Instruction: Keep left, Distance: 1.9 meters, Time: 1.3 seconds
Name: -, Instruction: Keep left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
