Name: Rue de la Lingerie, Instruction: Head northeast on Rue de la Lingerie, Distance: 16.1 meters, Time: 11.6 seconds
Name: Place Marguerite de Navarre, Instruction: Keep left onto Place Marguerite de Navarre, Distance: 27.3 meters, Time: 19.6 seconds
Name: Place Marguerite de Navarre, Instruction: Turn left onto Place Marguerite de Navarre, Distance: 23.8 meters, Time: 17.1 seconds
Name: Place Marguerite de Navarre, Instruction: Turn slight left onto Place Marguerite de Navarre, Distance: 36.8 meters, Time: 26.5 seconds
Name: -, Instruction: Continue straight, Distance: 54.4 meters, Time: 39.2 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: Rue Saint-Honoré, Instruction: Turn right onto Rue Saint-Honoré, Distance: 173.3 meters, Time: 124.8 seconds
Name: -, Instruction: Turn right, Distance: 1.6 meters, Time: 1.1 seconds
Name: -, Instruction: Turn left, Distance: 28.6 meters, Time: 20.6 seconds
Name: -, Instruction: Turn slight left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Keep left, Distance: 70.6 meters, Time: 50.8 seconds
Name: -, Instruction: Turn right, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 32.8 meters, Time: 23.6 seconds
Name: -, Instruction: Keep right, Distance: 71.7 meters, Time: 51.6 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn slight left, Distance: 33.0 meters, Time: 23.8 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Keep left, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Keep right, Distance: 128.0 meters, Time: 92.2 seconds
Name: -, Instruction: Keep right, Distance: 135.9 meters, Time: 97.8 seconds
Name: -, Instruction: Turn right, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Turn left, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Keep right, Distance: 21.9 meters, Time: 15.8 seconds
Name: -, Instruction: Turn slight left, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn left, Distance: 82.2 meters, Time: 59.2 seconds
Name: -, Instruction: Keep right, Distance: 45.4 meters, Time: 32.7 seconds
Name: -, Instruction: Keep left, Distance: 323.4 meters, Time: 232.8 seconds
Name: -, Instruction: Keep left, Distance: 94.7 meters, Time: 68.2 seconds
Name: -, Instruction: Turn left, Distance: 24.7 meters, Time: 17.8 seconds
Name: -, Instruction: Turn right, Distance: 64.4 meters, Time: 46.4 seconds
Name: Rue Daunou, Instruction: Turn left onto Rue Daunou, Distance: 264.0 meters, Time: 190.1 seconds
Name: -, Instruction: Arrive at Rue Daunou, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
