Name: Quai de la Rapée, Instruction: Head southeast on Quai de la Rapée, Distance: 7.5 meters, Time: 5.4 seconds
Name: Boulevard de la Bastille, Instruction: Turn sharp left onto Boulevard de la Bastille, Distance: 3.8 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn right, Distance: 280.4 meters, Time: 201.9 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 158.1 meters, Time: 113.8 seconds
Name: -, Instruction: Turn left, Distance: 247.9 meters, Time: 178.5 seconds
Name: Place de la Bastille, Instruction: Turn left onto Place de la Bastille, Distance: 12.6 meters, Time: 9.0 seconds
Name: Place de la Bastille, Instruction: Turn right onto Place de la Bastille, Distance: 64.2 meters, Time: 46.2 seconds
Name: Place de la Bastille, Instruction: Turn right onto Place de la Bastille, Distance: 32.1 meters, Time: 23.1 seconds
Name: Place de la Bastille, Instruction: Turn slight left onto Place de la Bastille, Distance: 22.2 meters, Time: 16.0 seconds
Name: Place de la Bastille, Instruction: Turn right onto Place de la Bastille, Distance: 46.9 meters, Time: 33.8 seconds
Name: Place de la Bastille, Instruction: Turn left onto Place de la Bastille, Distance: 13.0 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 32.6 meters, Time: 23.5 seconds
Name: -, Instruction: Turn left, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn right, Distance: 75.3 meters, Time: 54.2 seconds
Name: -, Instruction: Turn right, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Keep right, Distance: 13.0 meters, Time: 9.3 seconds
Name: -, Instruction: Keep left, Distance: 0.9 meters, Time: 0.7 seconds
Name: -, Instruction: Keep right, Distance: 68.8 meters, Time: 49.6 seconds
Name: -, Instruction: Keep left, Distance: 0.8 meters, Time: 0.6 seconds
Name: -, Instruction: Keep right, Distance: 140.3 meters, Time: 101.0 seconds
Name: -, Instruction: Keep right, Distance: 15.2 meters, Time: 10.9 seconds
Name: -, Instruction: Keep left, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Keep right, Distance: 88.8 meters, Time: 63.9 seconds
Name: -, Instruction: Keep left, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Keep left, Distance: 97.4 meters, Time: 70.1 seconds
Name: -, Instruction: Keep left, Distance: 1.0 meters, Time: 0.7 seconds
Name: -, Instruction: Turn right, Distance: 127.0 meters, Time: 91.4 seconds
Name: -, Instruction: Turn right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 66.3 meters, Time: 47.7 seconds
Name: -, Instruction: Keep left, Distance: 175.2 meters, Time: 126.1 seconds
Name: -, Instruction: Keep left, Distance: 54.5 meters, Time: 39.2 seconds
Name: -, Instruction: Keep left, Distance: 0.7 meters, Time: 0.5 seconds
Name: -, Instruction: Keep right, Distance: 86.2 meters, Time: 62.0 seconds
Name: -, Instruction: Turn right, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn left, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn right, Distance: 19.8 meters, Time: 14.3 seconds
Name: -, Instruction: Turn slight left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 93.2 meters, Time: 67.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
