Name: Rue du Parc Royal, Instruction: Head southeast on Rue du Parc Royal, Distance: 318.2 meters, Time: 229.1 seconds
Name: -, Instruction: Turn right, Distance: 201.3 meters, Time: 145.0 seconds
Name: -, Instruction: Turn left, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Keep right, Distance: 107.7 meters, Time: 77.5 seconds
Name: -, Instruction: Turn left, Distance: 114.7 meters, Time: 82.6 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 128.4 meters, Time: 92.4 seconds
Name: -, Instruction: Turn right, Distance: 296.3 meters, Time: 213.4 seconds
Name: -, Instruction: Turn right, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn left, Distance: 93.8 meters, Time: 67.5 seconds
Name: -, Instruction: Turn slight left, Distance: 85.5 meters, Time: 61.5 seconds
Name: -, Instruction: Turn slight right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn slight left, Distance: 22.3 meters, Time: 16.0 seconds
Name: -, Instruction: Keep left, Distance: 77.1 meters, Time: 55.5 seconds
Name: -, Instruction: Keep left, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn slight left, Distance: 45.6 meters, Time: 32.8 seconds
Name: -, Instruction: Keep right, Distance: 1.0 meters, Time: 0.7 seconds
Name: -, Instruction: Keep left, Distance: 52.0 meters, Time: 37.5 seconds
Name: -, Instruction: Turn left, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn left, Distance: 25.3 meters, Time: 18.2 seconds
Name: -, Instruction: Turn right, Distance: 29.1 meters, Time: 20.9 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 9.4 meters, Time: 6.7 seconds
Name: -, Instruction: Keep left, Distance: 100.9 meters, Time: 72.7 seconds
Name: -, Instruction: Turn right, Distance: 143.7 meters, Time: 103.5 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 171.3 meters, Time: 123.3 seconds
Name: -, Instruction: Keep left, Distance: 140.1 meters, Time: 100.9 seconds
Name: -, Instruction: Turn right, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
