Name: Rue de la République, D 4, Instruction: Head southwest on Rue de la République, D 4, Distance: 121.4 meters, Time: 87.4 seconds
Name: Rue Anatole France, D 9, Instruction: Turn left onto Rue Anatole France, D 9, Distance: 243.0 meters, Time: 175.0 seconds
Name: Rue Jean Jaurès, Instruction: Turn right onto Rue Jean Jaurès, Distance: 251.5 meters, Time: 181.1 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 156.1 meters, Time: 112.4 seconds
Name: -, Instruction: Turn right, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 513.0 meters, Time: 369.4 seconds
Name: -, Instruction: Turn left, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Turn right, Distance: 23.4 meters, Time: 16.8 seconds
Name: -, Instruction: Turn right, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn left, Distance: 66.2 meters, Time: 47.7 seconds
Name: -, Instruction: Turn left, Distance: 84.9 meters, Time: 61.1 seconds
Name: -, Instruction: Keep right, Distance: 93.3 meters, Time: 67.2 seconds
Name: -, Instruction: Turn left, Distance: 126.8 meters, Time: 91.3 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: Rue Benoît Malon, Instruction: Turn left onto Rue Benoît Malon, Distance: 143.3 meters, Time: 103.2 seconds
Name: -, Instruction: Turn right, Distance: 42.1 meters, Time: 30.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
