Name: Rue Gaston Boissier, Instruction: Head southwest on Rue Gaston Boissier, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn right, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 31.6 meters, Time: 22.8 seconds
Name: -, Instruction: Turn left, Distance: 257.3 meters, Time: 185.3 seconds
Name: -, Instruction: Keep right, Distance: 39.3 meters, Time: 28.3 seconds
Name: Rue Lefebvre, Instruction: Turn right onto Rue Lefebvre, Distance: 2.8 meters, Time: 2.0 seconds
Name: Boulevard Lefebvre, Instruction: Turn left onto Boulevard Lefebvre, Distance: 285.9 meters, Time: 205.8 seconds
Name: -, Instruction: Turn right, Distance: 59.6 meters, Time: 42.9 seconds
Name: -, Instruction: Turn left, Distance: 15.9 meters, Time: 11.4 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 22.0 meters, Time: 15.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 200.3 meters, Time: 144.2 seconds
Name: -, Instruction: Turn slight left, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn left, Distance: 1.6 meters, Time: 1.1 seconds
Name: -, Instruction: Turn right, Distance: 158.9 meters, Time: 114.4 seconds
Name: -, Instruction: Turn right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Keep left, Distance: 153.1 meters, Time: 110.2 seconds
Name: -, Instruction: Turn left, Distance: 13.1 meters, Time: 9.5 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 155.1 meters, Time: 111.7 seconds
Name: -, Instruction: Turn right, Distance: 2.4 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 152.1 meters, Time: 109.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
