Name: Rue Bartholdi, Instruction: Head north on Rue Bartholdi, Distance: 83.2 meters, Time: 59.9 seconds
Name: Rue de la Rochefoucauld, Instruction: Turn left onto Rue de la Rochefoucauld, Distance: 11.5 meters, Time: 8.3 seconds
Name: Passage des Nymphéas, Instruction: Turn right onto Passage des Nymphéas, Distance: 51.5 meters, Time: 37.1 seconds
Name: Passage des Nymphéas, Instruction: Keep right onto Passage des Nymphéas, Distance: 25.6 meters, Time: 18.5 seconds
Name: Rue Claude Monet, Instruction: Turn slight right onto Rue Claude Monet, Distance: 21.0 meters, Time: 15.1 seconds
Name: -, Instruction: Turn left, Distance: 233.6 meters, Time: 168.2 seconds
Name: -, Instruction: Turn right, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn slight left, Distance: 34.8 meters, Time: 25.1 seconds
Name: -, Instruction: Keep right, Distance: 32.7 meters, Time: 23.6 seconds
Name: -, Instruction: Turn right, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Continue straight, Distance: 17.2 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 527.8 meters, Time: 380.0 seconds
Name: -, Instruction: Keep left, Distance: 117.5 meters, Time: 84.6 seconds
Name: Route du Point du Jour à Suresnes, Instruction: Turn left onto Route du Point du Jour à Suresnes, Distance: 207.0 meters, Time: 149.0 seconds
Name: Chemin des Gravilliers, Instruction: Keep right onto Chemin des Gravilliers, Distance: 30.5 meters, Time: 22.0 seconds
Name: -, Instruction: Arrive at Chemin des Gravilliers, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
