Name: Avenue Winston Churchill, Instruction: Head northwest on Avenue Winston Churchill, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 79.4 meters, Time: 57.2 seconds
Name: -, Instruction: Turn right, Distance: 3.6 meters, Time: 2.6 seconds
Name: Avenue de la Liberté, Instruction: Turn left onto Avenue de la Liberté, Distance: 192.3 meters, Time: 138.4 seconds
Name: Avenue de Gravelle, Instruction: Turn right onto Avenue de Gravelle, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Keep right, Distance: 56.2 meters, Time: 40.4 seconds
Name: Route de la Plaine, Instruction: Turn right onto Route de la Plaine, Distance: 44.2 meters, Time: 31.8 seconds
Name: -, Instruction: Turn left, Distance: 77.1 meters, Time: 55.5 seconds
Name: -, Instruction: Turn slight right, Distance: 5.8 meters, Time: 4.2 seconds
Name: Route Dom Pérignon, Instruction: Turn left onto Route Dom Pérignon, Distance: 228.8 meters, Time: 164.7 seconds
Name: Route Dom Pérignon, Instruction: Continue straight onto Route Dom Pérignon, Distance: 171.5 meters, Time: 123.5 seconds
Name: Route de la Ceinture du Lac Daumesnil, Instruction: Continue straight onto Route de la Ceinture du Lac Daumesnil, Distance: 41.9 meters, Time: 30.1 seconds
Name: Route de la Ceinture du Lac Daumesnil, Instruction: Keep right onto Route de la Ceinture du Lac Daumesnil, Distance: 247.6 meters, Time: 178.3 seconds
Name: Avenue François Fresneau, Instruction: Keep left onto Avenue François Fresneau, Distance: 175.2 meters, Time: 126.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 35.4 meters, Time: 25.5 seconds
Name: -, Instruction: Turn left, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: Avenue Armand Rousseau, Instruction: Turn right onto Avenue Armand Rousseau, Distance: 203.7 meters, Time: 146.7 seconds
Name: Rue Ernest Lefébure, Instruction: Turn left onto Rue Ernest Lefébure, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn right, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
