Name: Rue du Haut Pavé, Instruction: Head south on Rue du Haut Pavé, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 112.6 meters, Time: 81.1 seconds
Name: -, Instruction: Keep right, Distance: 44.4 meters, Time: 31.9 seconds
Name: -, Instruction: Turn right, Distance: 271.6 meters, Time: 195.5 seconds
Name: -, Instruction: Turn right, Distance: 8.0 meters, Time: 5.7 seconds
Name: -, Instruction: Turn left, Distance: 87.3 meters, Time: 62.8 seconds
Name: -, Instruction: Turn left, Distance: 13.4 meters, Time: 9.6 seconds
Name: Quai de la Tournelle, Instruction: Turn right onto Quai de la Tournelle, Distance: 44.1 meters, Time: 31.8 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 46.5 meters, Time: 33.5 seconds
Name: -, Instruction: Turn left, Distance: 341.5 meters, Time: 245.8 seconds
Name: -, Instruction: Turn right, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 17.0 meters, Time: 12.3 seconds
Name: -, Instruction: Turn slight left, Distance: 75.4 meters, Time: 54.3 seconds
Name: -, Instruction: Turn right, Distance: 3.0 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 34.4 meters, Time: 24.7 seconds
Name: -, Instruction: Turn right, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 236.8 meters, Time: 170.5 seconds
Name: Rue de la Cerisaie, Instruction: Turn right onto Rue de la Cerisaie, Distance: 143.5 meters, Time: 103.3 seconds
Name: -, Instruction: Arrive at Rue de la Cerisaie, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
