Name: Rue Pasteur, Instruction: Head southwest on Rue Pasteur, Distance: 75.6 meters, Time: 54.4 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 54.7 meters, Time: 39.4 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: Rue Gabriel Péri, Instruction: Turn left onto Rue Gabriel Péri, Distance: 432.0 meters, Time: 311.0 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 97.0 meters, Time: 69.8 seconds
Name: -, Instruction: Turn right, Distance: 69.3 meters, Time: 49.9 seconds
Name: -, Instruction: Turn left, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn right, Distance: 7.5 meters, Time: 5.4 seconds
Name: Rue Louis Vierne, Instruction: Turn left onto Rue Louis Vierne, Distance: 18.0 meters, Time: 12.9 seconds
Name: Rue Louis Vierne, Instruction: Turn slight right onto Rue Louis Vierne, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn slight right, Distance: 73.3 meters, Time: 52.8 seconds
Name: -, Instruction: Turn left, Distance: 64.0 meters, Time: 46.1 seconds
Name: Promenade Bernard Lafray, Instruction: Turn right onto Promenade Bernard Lafray, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn slight left, Distance: 66.3 meters, Time: 47.8 seconds
Name: -, Instruction: Turn right, Distance: 33.6 meters, Time: 24.2 seconds
Name: -, Instruction: Turn left, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn right, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn right, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn left, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn right, Distance: 172.5 meters, Time: 124.2 seconds
Name: -, Instruction: Turn right, Distance: 62.4 meters, Time: 44.9 seconds
Name: -, Instruction: Turn slight right, Distance: 134.1 meters, Time: 96.5 seconds
Name: -, Instruction: Turn slight right, Distance: 27.7 meters, Time: 19.9 seconds
Name: -, Instruction: Turn slight left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn slight right, Distance: 104.1 meters, Time: 75.0 seconds
Name: -, Instruction: Turn left, Distance: 2.6 meters, Time: 1.9 seconds
Name: Boulevard Gouvion-Saint-Cyr, Instruction: Turn right onto Boulevard Gouvion-Saint-Cyr, Distance: 89.5 meters, Time: 64.5 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 27.1 meters, Time: 19.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
