Name: Rue Juliette Lamber, Instruction: Head east on Rue Juliette Lamber, Distance: 7.0 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 23.0 meters, Time: 16.5 seconds
Name: -, Instruction: Turn left, Distance: 211.5 meters, Time: 152.3 seconds
Name: -, Instruction: Turn right, Distance: 113.8 meters, Time: 82.0 seconds
Name: -, Instruction: Turn slight right, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn slight left, Distance: 100.3 meters, Time: 72.2 seconds
Name: -, Instruction: Keep right, Distance: 108.4 meters, Time: 78.0 seconds
Name: -, Instruction: Turn left, Distance: 27.3 meters, Time: 19.7 seconds
Name: -, Instruction: Turn right, Distance: 78.7 meters, Time: 56.6 seconds
Name: -, Instruction: Keep right, Distance: 10.2 meters, Time: 7.3 seconds
Name: Rue Pierre Demours, Instruction: Turn left onto Rue Pierre Demours, Distance: 70.4 meters, Time: 50.7 seconds
Name: Rue Pierre Demours, Instruction: Continue straight onto Rue Pierre Demours, Distance: 398.8 meters, Time: 287.1 seconds
Name: Rue Pierre Demours, Instruction: Continue straight onto Rue Pierre Demours, Distance: 282.3 meters, Time: 203.2 seconds
Name: Rue Lebon, Instruction: Turn right onto Rue Lebon, Distance: 3.8 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
