Name: Rue Joseph de Maistre, Instruction: Head south on Rue Joseph de Maistre, Distance: 29.3 meters, Time: 21.1 seconds
Name: Rue Marcadet, Instruction: Turn left onto Rue Marcadet, Distance: 682.0 meters, Time: 491.0 seconds
Name: Rue Marcadet, Instruction: Keep left onto Rue Marcadet, Distance: 427.7 meters, Time: 307.9 seconds
Name: Place Aminadabu Birara, Instruction: Keep left onto Place Aminadabu Birara, Distance: 17.6 meters, Time: 12.7 seconds
Name: Rue Eugène Sue, Instruction: Turn left onto Rue Eugène Sue, Distance: 256.9 meters, Time: 184.9 seconds
Name: Rue de Clignancourt, Instruction: Turn slight left onto Rue de Clignancourt, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 1.7 meters, Time: 1.3 seconds
Name: -, Instruction: Turn slight left, Distance: 36.9 meters, Time: 26.5 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Turn slight right, Distance: 135.2 meters, Time: 97.4 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
