Name: Rua Engenheiro Pena Chaves, Instruction: Head southwest on Rua Engenheiro Pena Chaves, Distance: 128.9 meters, Time: 92.8 seconds
Name: Rua Santa Heloisa, Instruction: Turn left onto Rua Santa Heloisa, Distance: 92.9 meters, Time: 66.9 seconds
Name: Rua Corcovado, Instruction: Turn right onto Rua Corcovado, Distance: 91.6 meters, Time: 65.9 seconds
Name: Rua Corcovado, Instruction: Turn slight right onto Rua Corcovado, Distance: 65.3 meters, Time: 47.0 seconds
Name: Rua Von Martius, Instruction: Turn left onto Rua Von Martius, Distance: 143.4 meters, Time: 103.2 seconds
Name: Rua Pacheco Leão, Instruction: Turn left onto Rua Pacheco Leão, Distance: 209.4 meters, Time: 150.8 seconds
Name: -, Instruction: Turn right, Distance: 18.0 meters, Time: 13.0 seconds
Name: -, Instruction: Turn right, Distance: 83.4 meters, Time: 60.1 seconds
Name: -, Instruction: Turn left, Distance: 201.3 meters, Time: 144.9 seconds
Name: -, Instruction: Keep right, Distance: 16.5 meters, Time: 11.8 seconds
Name: -, Instruction: Turn right, Distance: 43.9 meters, Time: 31.6 seconds
Name: -, Instruction: Turn left, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn slight right, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
