Name: Estrada da Água Branca, Instruction: Head northwest on Estrada da Água Branca, Distance: 72.0 meters, Time: 51.8 seconds
Name: Rua Projetada B, Instruction: Turn right onto Rua Projetada B, Distance: 195.0 meters, Time: 140.4 seconds
Name: Rua Projetada A, Instruction: Turn left onto Rua Projetada A, Distance: 204.2 meters, Time: 147.0 seconds
Name: Rua Projetada C, Instruction: Turn right onto Rua Projetada C, Distance: 57.6 meters, Time: 41.4 seconds
Name: Avenida Ministro Ari Franco, Instruction: Turn left onto Avenida Ministro Ari Franco, Distance: 11.8 meters, Time: 8.5 seconds
Name: Avenida Ministro Ari Franco, Instruction: Keep right onto Avenida Ministro Ari Franco, Distance: 119.8 meters, Time: 86.2 seconds
Name: Avenida Ministro Ari Franco, Instruction: Turn slight right onto Avenida Ministro Ari Franco, Distance: 46.1 meters, Time: 33.2 seconds
Name: -, Instruction: Turn left, Distance: 61.6 meters, Time: 44.4 seconds
Name: -, Instruction: Turn right, Distance: 113.5 meters, Time: 81.8 seconds
Name: -, Instruction: Turn left, Distance: 142.8 meters, Time: 102.8 seconds
Name: -, Instruction: Turn left, Distance: 114.9 meters, Time: 82.7 seconds
Name: -, Instruction: Turn right, Distance: 27.0 meters, Time: 19.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
