Name: Rua Rita Vieira, Instruction: Head northeast on Rua Rita Vieira, Distance: 84.3 meters, Time: 60.7 seconds
Name: Rua Alves, Instruction: Turn left onto Rua Alves, Distance: 51.4 meters, Time: 37.0 seconds
Name: Rua Andrade Figueira, Instruction: Turn left onto Rua Andrade Figueira, Distance: 135.4 meters, Time: 97.5 seconds
Name: -, Instruction: Turn right, Distance: 127.5 meters, Time: 91.8 seconds
Name: Avenida Ministro Edgard Romero, Instruction: Turn left onto Avenida Ministro Edgard Romero, Distance: 87.4 meters, Time: 62.9 seconds
Name: -, Instruction: Turn right, Distance: 21.3 meters, Time: 15.4 seconds
Name: Avenida Ministro Edgard Romero, Instruction: Turn sharp left onto Avenida Ministro Edgard Romero, Distance: 12.2 meters, Time: 8.8 seconds
Name: Rua Conselheiro Galvão, Instruction: Turn slight left onto Rua Conselheiro Galvão, Distance: 8.4 meters, Time: 6.1 seconds
Name: Avenida Ministro Edgard Romero, Instruction: Turn right onto Avenida Ministro Edgard Romero, Distance: 316.2 meters, Time: 227.7 seconds
Name: -, Instruction: Turn slight right, Distance: 401.6 meters, Time: 289.1 seconds
Name: Rua Soares Caldeira, Instruction: Turn left onto Rua Soares Caldeira, Distance: 136.6 meters, Time: 98.4 seconds
Name: Rua Antônio de Abreu, Instruction: Turn right onto Rua Antônio de Abreu, Distance: 246.9 meters, Time: 177.7 seconds
Name: Rua Manuel Marques, Instruction: Turn right onto Rua Manuel Marques, Distance: 36.8 meters, Time: 26.5 seconds
Name: -, Instruction: Continue straight, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn left, Distance: 24.3 meters, Time: 17.5 seconds
Name: -, Instruction: Turn slight right, Distance: 28.2 meters, Time: 20.3 seconds
Name: -, Instruction: Turn slight right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 452.7 meters, Time: 325.9 seconds
Name: -, Instruction: Turn left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 36.8 meters, Time: 26.5 seconds
Name: -, Instruction: Turn left, Distance: 15.9 meters, Time: 11.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
