Name: Praça do Repentista, Instruction: Head southeast on Praça do Repentista, Distance: 16.7 meters, Time: 12.0 seconds
Name: Avenida Rio Grande do Norte, Instruction: Turn right onto Avenida Rio Grande do Norte, Distance: 100.3 meters, Time: 72.2 seconds
Name: -, Instruction: Turn right, Distance: 127.2 meters, Time: 91.6 seconds
Name: -, Instruction: Turn left, Distance: 20.9 meters, Time: 15.1 seconds
Name: Campo de São Cristóvão, Instruction: Turn right onto Campo de São Cristóvão, Distance: 127.5 meters, Time: 91.8 seconds
Name: Campo de São Cristóvão, Instruction: Keep left onto Campo de São Cristóvão, Distance: 57.4 meters, Time: 41.3 seconds
Name: Avenida do Exército, Instruction: Continue straight onto Avenida do Exército, Distance: 92.0 meters, Time: 66.2 seconds
Name: Rua Fonseca Teles, Instruction: Turn left onto Rua Fonseca Teles, Distance: 304.9 meters, Time: 219.5 seconds
Name: Rua Mineira, Instruction: Turn right onto Rua Mineira, Distance: 44.8 meters, Time: 32.3 seconds
Name: Rua do Parque, Instruction: Turn left onto Rua do Parque, Distance: 155.2 meters, Time: 111.8 seconds
Name: Avenida Rotary Internacional, Instruction: Turn left onto Avenida Rotary Internacional, Distance: 119.4 meters, Time: 86.0 seconds
Name: Avenida Rotary Internacional, Instruction: Continue straight onto Avenida Rotary Internacional, Distance: 33.0 meters, Time: 23.8 seconds
Name: Rua General Herculano Gomes, Instruction: Enter the roundabout and take the 3rd exit onto Rua General Herculano Gomes, Distance: 35.0 meters, Time: 25.2 seconds
Name: -, Instruction: Turn left, Distance: 19.0 meters, Time: 13.7 seconds
Name: Rua General Herculano Gomes, Instruction: Turn right onto Rua General Herculano Gomes, Distance: 182.8 meters, Time: 131.6 seconds
Name: Rua Almirante Baltazar, Instruction: Turn left onto Rua Almirante Baltazar, Distance: 18.9 meters, Time: 13.6 seconds
Name: Rua Almirante Baltazar, Instruction: Turn right onto Rua Almirante Baltazar, Distance: 78.8 meters, Time: 56.8 seconds
Name: Rua General Herculano Gomes, Instruction: Continue straight onto Rua General Herculano Gomes, Distance: 165.7 meters, Time: 119.3 seconds
Name: -, Instruction: Keep left, Distance: 23.3 meters, Time: 16.8 seconds
Name: -, Instruction: Keep right, Distance: 36.4 meters, Time: 26.2 seconds
Name: Rua Francisco Eugênio, Instruction: Turn right onto Rua Francisco Eugênio, Distance: 27.9 meters, Time: 20.1 seconds
Name: -, Instruction: Turn left, Distance: 39.9 meters, Time: 28.7 seconds
Name: -, Instruction: Turn right, Distance: 68.8 meters, Time: 49.6 seconds
Name: -, Instruction: Turn right, Distance: 225.0 meters, Time: 162.0 seconds
Name: -, Instruction: Turn right, Distance: 74.0 meters, Time: 53.3 seconds
Name: -, Instruction: Turn right, Distance: 16.7 meters, Time: 12.0 seconds
Name: Rua Senador Furtado, Instruction: Turn left onto Rua Senador Furtado, Distance: 199.5 meters, Time: 143.7 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
