Name: Rua 30 de Setembro, Instruction: Head north on Rua 30 de Setembro, Distance: 157.7 meters, Time: 113.6 seconds
Name: Estrada do Magarça, Instruction: Turn right onto Estrada do Magarça, Distance: 595.6 meters, Time: 428.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 10.3 meters, Time: 7.4 seconds
Name: Estrada do Magarça, Instruction: Turn slight left onto Estrada do Magarça, Distance: 31.6 meters, Time: 22.8 seconds
Name: Rua A, Instruction: Turn right onto Rua A, Distance: 264.3 meters, Time: 190.3 seconds
Name: -, Instruction: Turn left, Distance: 641.2 meters, Time: 461.6 seconds
Name: Estrada do Cantagalo, Instruction: Turn right onto Estrada do Cantagalo, Distance: 233.2 meters, Time: 167.9 seconds
Name: Rua Joaquim Ribeiro, Instruction: Turn sharp left onto Rua Joaquim Ribeiro, Distance: 224.0 meters, Time: 161.3 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Keep left, Distance: 27.4 meters, Time: 19.7 seconds
Name: -, Instruction: Turn slight right, Distance: 48.6 meters, Time: 35.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 29.9 meters, Time: 21.5 seconds
Name: -, Instruction: Turn left, Distance: 50.0 meters, Time: 36.0 seconds
Name: -, Instruction: Turn right, Distance: 52.8 meters, Time: 38.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
