Name: Condominio Residencial Pedra Do Calemba, Instruction: Head east on Condominio Residencial Pedra Do Calemba, Distance: 166.8 meters, Time: 120.1 seconds
Name: Rua Professor Santos Moreira, Instruction: Turn right onto Rua Professor Santos Moreira, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn left, Distance: 33.9 meters, Time: 24.4 seconds
Name: Rua F, Instruction: Turn left onto Rua F, Distance: 22.9 meters, Time: 16.5 seconds
Name: Rua F, Instruction: Keep right onto Rua F, Distance: 127.3 meters, Time: 91.6 seconds
Name: -, Instruction: Turn left, Distance: 119.2 meters, Time: 85.8 seconds
Name: Rua E, Instruction: Turn right onto Rua E, Distance: 123.8 meters, Time: 89.1 seconds
Name: Avenida A, Instruction: Turn left onto Avenida A, Distance: 72.5 meters, Time: 52.2 seconds
Name: -, Instruction: Keep right, Distance: 55.2 meters, Time: 39.8 seconds
Name: Via G, Instruction: Turn right onto Via G, Distance: 21.2 meters, Time: 15.3 seconds
Name: -, Instruction: Turn left, Distance: 88.7 meters, Time: 63.8 seconds
Name: -, Instruction: Keep left, Distance: 46.4 meters, Time: 33.4 seconds
Name: Estrada dos Bandeirantes, Instruction: Turn right onto Estrada dos Bandeirantes, Distance: 352.8 meters, Time: 254.0 seconds
Name: Estrada Frei Tibúrcio, Instruction: Turn left onto Estrada Frei Tibúrcio, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 46.1 meters, Time: 33.2 seconds
Name: -, Instruction: Turn left, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Keep right, Distance: 53.3 meters, Time: 38.3 seconds
Name: -, Instruction: Turn right, Distance: 259.0 meters, Time: 186.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
