Name: Rua Jaguaruna, Instruction: Head northwest on Rua Jaguaruna, Distance: 223.8 meters, Time: 161.1 seconds
Name: Estrada do Rio do A, Instruction: Turn left onto Estrada do Rio do A, Distance: 444.7 meters, Time: 320.2 seconds
Name: -, Instruction: Turn right, Distance: 7.2 meters, Time: 5.2 seconds
Name: Estrada do Rio do A, Instruction: Turn left onto Estrada do Rio do A, Distance: 176.4 meters, Time: 127.0 seconds
Name: Estrada do Rio do A, Instruction: Keep right onto Estrada do Rio do A, Distance: 25.2 meters, Time: 18.1 seconds
Name: Avenida André Versálio, Instruction: Continue straight onto Avenida André Versálio, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn left, Distance: 19.9 meters, Time: 14.4 seconds
Name: Avenida André Versálio, Instruction: Turn left onto Avenida André Versálio, Distance: 51.3 meters, Time: 36.9 seconds
Name: Estrada do Rio do A, Instruction: Continue straight onto Estrada do Rio do A, Distance: 41.1 meters, Time: 29.6 seconds
Name: Rua Rio Bonito, Instruction: Turn right onto Rua Rio Bonito, Distance: 224.8 meters, Time: 161.9 seconds
Name: -, Instruction: Turn left, Distance: 200.7 meters, Time: 144.5 seconds
Name: -, Instruction: Turn right, Distance: 38.7 meters, Time: 27.9 seconds
Name: -, Instruction: Turn left, Distance: 50.6 meters, Time: 36.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
