Name: Rua Dom Manuel, Instruction: Head southeast on Rua Dom Manuel, Distance: 25.7 meters, Time: 18.5 seconds
Name: -, Instruction: Turn right, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 115.4 meters, Time: 83.1 seconds
Name: -, Instruction: Turn left, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn right, Distance: 36.3 meters, Time: 26.1 seconds
Name: -, Instruction: Turn left, Distance: 163.3 meters, Time: 117.6 seconds
Name: -, Instruction: Turn left, Distance: 103.2 meters, Time: 74.3 seconds
Name: Rua Marechal Aguinaldo Caiado de Castro, Instruction: Turn sharp right onto Rua Marechal Aguinaldo Caiado de Castro, Distance: 170.4 meters, Time: 122.7 seconds
Name: -, Instruction: Turn left, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 60.9 meters, Time: 43.8 seconds
Name: -, Instruction: Keep left, Distance: 179.1 meters, Time: 128.9 seconds
Name: -, Instruction: Turn left, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 240.6 meters, Time: 173.2 seconds
Name: -, Instruction: Turn left, Distance: 167.3 meters, Time: 120.5 seconds
Name: -, Instruction: Turn right, Distance: 41.6 meters, Time: 30.0 seconds
Name: Rua Jardel Jércolis, Instruction: Turn right onto Rua Jardel Jércolis, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn left, Distance: 83.3 meters, Time: 60.0 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 60.1 meters, Time: 43.3 seconds
Name: -, Instruction: Turn left, Distance: 38.5 meters, Time: 27.7 seconds
Name: Ciclovia Mané Garrincha, Instruction: Turn right onto Ciclovia Mané Garrincha, Distance: 201.6 meters, Time: 145.1 seconds
Name: -, Instruction: Turn right, Distance: 24.2 meters, Time: 17.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
