Name: Rua Salvinea, Instruction: Head northeast on Rua Salvinea, Distance: 59.1 meters, Time: 42.6 seconds
Name: Estrada do Quitite, Instruction: Turn left onto Estrada do Quitite, Distance: 316.1 meters, Time: 227.6 seconds
Name: Rua Jorge Figueiredo, Instruction: Turn left onto Rua Jorge Figueiredo, Distance: 266.7 meters, Time: 192.1 seconds
Name: Rua Jorge Figueiredo, Instruction: Keep right onto Rua Jorge Figueiredo, Distance: 290.6 meters, Time: 209.2 seconds
Name: Rua Jorge Figueiredo, Instruction: Continue straight onto Rua Jorge Figueiredo, Distance: 108.5 meters, Time: 78.1 seconds
Name: Rua Jorge Figueiredo, Instruction: Keep left onto Rua Jorge Figueiredo, Distance: 32.7 meters, Time: 23.5 seconds
Name: Estrada da Uruçanga, Instruction: Turn left onto Estrada da Uruçanga, Distance: 383.5 meters, Time: 276.1 seconds
Name: -, Instruction: Keep left, Distance: 32.2 meters, Time: 23.2 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.5 seconds
Name: Estrada de Jacarepaguá, Instruction: Turn left onto Estrada de Jacarepaguá, Distance: 39.1 meters, Time: 28.2 seconds
Name: -, Instruction: Arrive at Estrada de Jacarepaguá, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
