Name: Rua Vaz da Costa, Instruction: Head south on Rua Vaz da Costa, Distance: 313.8 meters, Time: 225.9 seconds
Name: Rua Mateus Silva, Instruction: Turn right onto Rua Mateus Silva, Distance: 52.7 meters, Time: 37.9 seconds
Name: Caminho do Mateus, Instruction: Turn sharp left onto Caminho do Mateus, Distance: 353.9 meters, Time: 254.8 seconds
Name: Rua José dos Reis, Instruction: Turn right onto Rua José dos Reis, Distance: 285.2 meters, Time: 205.3 seconds
Name: -, Instruction: Turn left, Distance: 85.8 meters, Time: 61.8 seconds
Name: Rua José dos Reis, Instruction: Turn sharp left onto Rua José dos Reis, Distance: 42.3 meters, Time: 30.4 seconds
Name: Rua Homero Dornelas, Instruction: Continue straight onto Rua Homero Dornelas, Distance: 279.8 meters, Time: 201.4 seconds
Name: Rua Fernão Cardim, Instruction: Turn right onto Rua Fernão Cardim, Distance: 159.9 meters, Time: 115.1 seconds
Name: Rua Degas, Instruction: Enter the roundabout and take the 1st exit onto Rua Degas, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Keep right, Distance: 34.3 meters, Time: 24.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 28.7 meters, Time: 20.7 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: Rua Degas, Instruction: Turn right onto Rua Degas, Distance: 31.0 meters, Time: 22.3 seconds
Name: -, Instruction: Keep left, Distance: 116.9 meters, Time: 84.2 seconds
Name: -, Instruction: Turn right, Distance: 282.5 meters, Time: 203.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
