Name: Jurong West Street 41, Instruction: Head west on Jurong West Street 41, Distance: 40.1 meters, Time: 28.9 seconds
Name: -, Instruction: Turn right, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Turn left, Distance: 102.6 meters, Time: 73.8 seconds
Name: -, Instruction: Turn slight right, Distance: 197.5 meters, Time: 142.2 seconds
Name: -, Instruction: Turn left, Distance: 22.9 meters, Time: 16.5 seconds
Name: -, Instruction: Continue straight, Distance: 52.8 meters, Time: 38.0 seconds
Name: -, Instruction: Continue straight, Distance: 150.4 meters, Time: 108.3 seconds
Name: -, Instruction: Turn slight right, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn slight left, Distance: 19.8 meters, Time: 14.3 seconds
Name: -, Instruction: Turn slight left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 79.1 meters, Time: 56.9 seconds
Name: -, Instruction: Continue straight, Distance: 223.6 meters, Time: 161.0 seconds
Name: -, Instruction: Turn slight left, Distance: 201.4 meters, Time: 145.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
