Name: Bassein Road, Instruction: Head northwest on Bassein Road, Distance: 113.0 meters, Time: 81.3 seconds
Name: -, Instruction: Turn right, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn left, Distance: 58.6 meters, Time: 42.2 seconds
Name: Tan Tock Seng Link, Instruction: Turn right onto Tan Tock Seng Link, Distance: 68.7 meters, Time: 49.5 seconds
Name: -, Instruction: Turn left, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn right, Distance: 93.2 meters, Time: 67.1 seconds
Name: -, Instruction: Turn right, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 203.0 meters, Time: 146.1 seconds
Name: -, Instruction: Turn right, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn left, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn slight left, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Turn right, Distance: 205.9 meters, Time: 148.2 seconds
Name: -, Instruction: Turn left, Distance: 96.1 meters, Time: 69.2 seconds
Name: -, Instruction: Turn left, Distance: 13.7 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 133.4 meters, Time: 96.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
