Name: Lorong Kismis, Instruction: Head east on Lorong Kismis, Distance: 26.4 meters, Time: 19.0 seconds
Name: Toh Tuck Terrace, Instruction: Turn left onto Toh Tuck Terrace, Distance: 235.5 meters, Time: 169.5 seconds
Name: Toh Tuck Road, Instruction: Turn right onto Toh Tuck Road, Distance: 57.4 meters, Time: 41.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 152.2 meters, Time: 109.6 seconds
Name: -, Instruction: Turn left, Distance: 18.0 meters, Time: 12.9 seconds
Name: -, Instruction: Turn right, Distance: 165.1 meters, Time: 118.9 seconds
Name: -, Instruction: Turn left, Distance: 1475.0 meters, Time: 1062.0 seconds
Name: Hillview Park Connector, Instruction: Turn right onto Hillview Park Connector, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn left, Distance: 27.4 meters, Time: 19.7 seconds
Name: -, Instruction: Turn right, Distance: 19.4 meters, Time: 14.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
