Name: Defu South Street 1, Instruction: Head south on Defu South Street 1, Distance: 655.5 meters, Time: 471.9 seconds
Name: -, Instruction: Turn left, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn left, Distance: 112.2 meters, Time: 80.8 seconds
Name: -, Instruction: Keep left, Distance: 37.9 meters, Time: 27.3 seconds
Name: -, Instruction: Turn right, Distance: 23.5 meters, Time: 16.9 seconds
Name: -, Instruction: Turn slight right, Distance: 43.5 meters, Time: 31.3 seconds
Name: -, Instruction: Turn right, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Keep left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn left, Distance: 291.3 meters, Time: 209.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn slight right, Distance: 39.3 meters, Time: 28.3 seconds
Name: -, Instruction: Turn left, Distance: 46.5 meters, Time: 33.5 seconds
Name: -, Instruction: Turn right, Distance: 27.9 meters, Time: 20.1 seconds
Name: -, Instruction: Turn left, Distance: 206.8 meters, Time: 148.9 seconds
Name: -, Instruction: Turn right, Distance: 118.6 meters, Time: 85.4 seconds
Name: -, Instruction: Turn left, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Turn left, Distance: 19.0 meters, Time: 13.7 seconds
Name: -, Instruction: Turn left, Distance: 23.8 meters, Time: 17.1 seconds
Name: -, Instruction: Turn slight right, Distance: 228.4 meters, Time: 164.5 seconds
Name: -, Instruction: Turn right, Distance: 132.4 meters, Time: 95.3 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
