Name: Lengkong Empat, Instruction: Head east on Lengkong Empat, Distance: 6.0 meters, Time: 4.3 seconds
Name: Jalan Selamat, Instruction: Turn right onto Jalan Selamat, Distance: 225.8 meters, Time: 162.6 seconds
Name: Jalan Paras, Instruction: Turn left onto Jalan Paras, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 108.6 meters, Time: 78.2 seconds
Name: -, Instruction: Turn right, Distance: 145.5 meters, Time: 104.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 55.4 meters, Time: 39.9 seconds
Name: -, Instruction: Turn right, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn left, Distance: 153.5 meters, Time: 110.5 seconds
Name: Jalan Grisek, Instruction: Turn left onto Jalan Grisek, Distance: 189.8 meters, Time: 136.6 seconds
Name: -, Instruction: Turn left, Distance: 46.5 meters, Time: 33.5 seconds
Name: -, Instruction: Turn left, Distance: 28.5 meters, Time: 20.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 167.6 meters, Time: 120.7 seconds
Name: -, Instruction: Turn left, Distance: 12.4 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 415.8 meters, Time: 299.4 seconds
Name: -, Instruction: Turn right, Distance: 51.7 meters, Time: 37.3 seconds
Name: -, Instruction: Turn left, Distance: 110.3 meters, Time: 79.4 seconds
Name: -, Instruction: Turn right, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 44.3 meters, Time: 31.9 seconds
Name: -, Instruction: Turn left, Distance: 204.2 meters, Time: 147.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
