Name: Anson Road, Instruction: Head northeast on Anson Road, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Keep right, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 100.8 meters, Time: 72.6 seconds
Name: Gopeng Street, Instruction: Turn sharp right onto Gopeng Street, Distance: 3.7 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 73.0 meters, Time: 52.5 seconds
Name: -, Instruction: Keep right, Distance: 128.4 meters, Time: 92.5 seconds
Name: -, Instruction: Turn right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 56.2 meters, Time: 40.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 38.3 meters, Time: 27.6 seconds
Name: -, Instruction: Turn left, Distance: 26.3 meters, Time: 18.9 seconds
Name: Capital Tower Plaza, Instruction: Turn slight left onto Capital Tower Plaza, Distance: 59.9 meters, Time: 43.2 seconds
Name: -, Instruction: Continue straight, Distance: 422.5 meters, Time: 304.2 seconds
Name: -, Instruction: Turn right, Distance: 10.1 meters, Time: 7.2 seconds
Name: -, Instruction: Keep left, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 191.6 meters, Time: 137.9 seconds
Name: Telegraph Street, Instruction: Turn right onto Telegraph Street, Distance: 31.9 meters, Time: 23.0 seconds
Name: -, Instruction: Turn left, Distance: 73.4 meters, Time: 52.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
