Name: Yishun Street 51, Instruction: Head east on Yishun Street 51, Distance: 95.4 meters, Time: 68.7 seconds
Name: -, Instruction: Turn left, Distance: 63.4 meters, Time: 45.7 seconds
Name: -, Instruction: Keep right, Distance: 121.6 meters, Time: 87.6 seconds
Name: -, Instruction: Turn right, Distance: 15.8 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 69.5 meters, Time: 50.0 seconds
Name: -, Instruction: Turn left, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Turn right, Distance: 778.8 meters, Time: 560.8 seconds
Name: -, Instruction: Turn slight left, Distance: 79.4 meters, Time: 57.2 seconds
Name: -, Instruction: Keep right, Distance: 13.6 meters, Time: 9.8 seconds
Name: Yishun Avenue 11, Instruction: Turn slight left onto Yishun Avenue 11, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn left, Distance: 186.5 meters, Time: 134.3 seconds
Name: -, Instruction: Turn right, Distance: 39.4 meters, Time: 28.3 seconds
Name: -, Instruction: Turn right, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn left, Distance: 219.1 meters, Time: 157.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
