Name: Punggol Field, Instruction: Head east on Punggol Field, Distance: 237.4 meters, Time: 170.9 seconds
Name: -, Instruction: Keep right, Distance: 36.4 meters, Time: 26.2 seconds
Name: Sumang Walk, Instruction: Turn slight right onto Sumang Walk, Distance: 111.2 meters, Time: 80.1 seconds
Name: Sumang Walk, Instruction: Continue straight onto Sumang Walk, Distance: 14.8 meters, Time: 10.6 seconds
Name: -, Instruction: Turn left, Distance: 26.2 meters, Time: 18.9 seconds
Name: -, Instruction: Turn right, Distance: 108.7 meters, Time: 78.2 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 27.4 meters, Time: 19.8 seconds
Name: -, Instruction: Turn right, Distance: 53.8 meters, Time: 38.7 seconds
Name: -, Instruction: Turn right, Distance: 192.5 meters, Time: 138.6 seconds
Name: -, Instruction: Turn right, Distance: 135.0 meters, Time: 97.2 seconds
Name: -, Instruction: Turn slight left, Distance: 28.6 meters, Time: 20.6 seconds
Name: -, Instruction: Turn left, Distance: 10.1 meters, Time: 7.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 17.7 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 48.9 meters, Time: 35.2 seconds
Name: -, Instruction: Turn right, Distance: 100.7 meters, Time: 72.5 seconds
Name: -, Instruction: Turn left, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn right, Distance: 27.3 meters, Time: 19.7 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 32.2 meters, Time: 23.2 seconds
Name: -, Instruction: Keep right, Distance: 35.7 meters, Time: 25.7 seconds
Name: Compassvale Crescent, Instruction: Turn right onto Compassvale Crescent, Distance: 54.4 meters, Time: 39.2 seconds
Name: -, Instruction: Turn left, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn right, Distance: 99.6 meters, Time: 71.7 seconds
Name: -, Instruction: Turn right, Distance: 37.0 meters, Time: 26.6 seconds
Name: -, Instruction: Turn left, Distance: 96.2 meters, Time: 69.3 seconds
Name: -, Instruction: Turn left, Distance: 24.0 meters, Time: 17.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
