Name: Chin Bee Avenue, Instruction: Head east on Chin Bee Avenue, Distance: 187.2 meters, Time: 134.8 seconds
Name: Second Chin Bee Road, Instruction: Turn right onto Second Chin Bee Road, Distance: 8.8 meters, Time: 6.4 seconds
Name: -, Instruction: Turn left, Distance: 175.7 meters, Time: 126.5 seconds
Name: -, Instruction: Turn slight right, Distance: 109.2 meters, Time: 78.6 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: Third Chin Bee Road, Instruction: Turn right onto Third Chin Bee Road, Distance: 189.2 meters, Time: 136.2 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 147.5 meters, Time: 106.2 seconds
Name: -, Instruction: Turn left, Distance: 104.2 meters, Time: 75.0 seconds
Name: -, Instruction: Turn right, Distance: 24.1 meters, Time: 17.4 seconds
Name: -, Instruction: Turn left, Distance: 409.1 meters, Time: 294.6 seconds
Name: -, Instruction: Turn right, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Turn left, Distance: 223.1 meters, Time: 160.6 seconds
Name: -, Instruction: Turn slight right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 21.9 meters, Time: 15.8 seconds
Name: -, Instruction: Turn right, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
