Name: Bain Street, Instruction: Head southeast on Bain Street, Distance: 117.7 meters, Time: 84.7 seconds
Name: -, Instruction: Turn right, Distance: 42.1 meters, Time: 30.3 seconds
Name: -, Instruction: Turn left, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: Seah Street, Instruction: Turn left onto Seah Street, Distance: 177.6 meters, Time: 127.8 seconds
Name: -, Instruction: Turn right, Distance: 181.2 meters, Time: 130.5 seconds
Name: -, Instruction: Turn left, Distance: 142.4 meters, Time: 102.5 seconds
Name: -, Instruction: Turn right, Distance: 23.8 meters, Time: 17.1 seconds
Name: -, Instruction: Turn slight left, Distance: 161.4 meters, Time: 116.2 seconds
Name: Drop Off, Instruction: Turn right onto Drop Off, Distance: 15.7 meters, Time: 11.3 seconds
Name: Raffles Boulevard, Instruction: Turn right onto Raffles Boulevard, Distance: 15.2 meters, Time: 10.9 seconds
Name: Raffles Link, Instruction: Keep left onto Raffles Link, Distance: 38.3 meters, Time: 27.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 536.3 meters, Time: 386.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
