Name: Toa Payoh Industrial Park, Instruction: Head west on Toa Payoh Industrial Park, Distance: 103.8 meters, Time: 74.7 seconds
Name: Lorong 8 Toa Payoh, Instruction: Turn right onto Lorong 8 Toa Payoh, Distance: 634.1 meters, Time: 456.5 seconds
Name: -, Instruction: Turn right, Distance: 160.8 meters, Time: 115.8 seconds
Name: -, Instruction: Turn slight left, Distance: 68.6 meters, Time: 49.4 seconds
Name: -, Instruction: Turn right, Distance: 53.4 meters, Time: 38.5 seconds
Name: -, Instruction: Continue straight, Distance: 165.0 meters, Time: 118.8 seconds
Name: -, Instruction: Turn left, Distance: 20.6 meters, Time: 14.8 seconds
Name: -, Instruction: Turn left, Distance: 26.5 meters, Time: 19.1 seconds
Name: Kallang Park Connector, Instruction: Turn right onto Kallang Park Connector, Distance: 5.8 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 73.0 meters, Time: 52.6 seconds
Name: -, Instruction: Turn left, Distance: 213.2 meters, Time: 153.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
