Name: Kurrajong Avenue, Instruction: Head east on Kurrajong Avenue, Distance: 24.8 meters, Time: 17.9 seconds
Name: Kurrajong Road, Instruction: Keep right onto Kurrajong Road, Distance: 41.7 meters, Time: 30.1 seconds
Name: Belmore Avenue, Instruction: Enter the roundabout and take the 1st exit onto Belmore Avenue, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Turn left, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn right, Distance: 243.5 meters, Time: 175.3 seconds
Name: -, Instruction: Turn slight left, Distance: 550.8 meters, Time: 396.6 seconds
Name: -, Instruction: Turn right, Distance: 35.3 meters, Time: 25.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 98.1 meters, Time: 70.6 seconds
Name: -, Instruction: Turn left, Distance: 68.4 meters, Time: 49.2 seconds
Name: -, Instruction: Turn right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 72.7 meters, Time: 52.3 seconds
Name: -, Instruction: Turn right, Distance: 61.5 meters, Time: 44.3 seconds
Name: -, Instruction: Turn left, Distance: 28.7 meters, Time: 20.7 seconds
Name: -, Instruction: Keep right, Distance: 28.2 meters, Time: 20.3 seconds
Name: -, Instruction: Turn right, Distance: 29.7 meters, Time: 21.4 seconds
Name: -, Instruction: Keep left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Keep right, Distance: 44.8 meters, Time: 32.3 seconds
Name: -, Instruction: Keep right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn slight right, Distance: 36.2 meters, Time: 26.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
