Name: Kennedy Street, Instruction: Head north on Kennedy Street, Distance: 65.4 meters, Time: 47.1 seconds
Name: -, Instruction: Turn left, Distance: 68.2 meters, Time: 49.1 seconds
Name: -, Instruction: Continue straight, Distance: 543.7 meters, Time: 391.5 seconds
Name: -, Instruction: Turn right, Distance: 22.9 meters, Time: 16.5 seconds
Name: -, Instruction: Turn left, Distance: 28.5 meters, Time: 20.5 seconds
Name: -, Instruction: Turn right, Distance: 151.0 meters, Time: 108.7 seconds
Name: -, Instruction: Turn right, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Keep left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 21.3 meters, Time: 15.3 seconds
Name: -, Instruction: Keep right, Distance: 49.5 meters, Time: 35.6 seconds
Name: Western Campus Drive, Instruction: Turn right onto Western Campus Drive, Distance: 62.3 meters, Time: 44.9 seconds
Name: -, Instruction: Arrive at Western Campus Drive, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
