Name: McGrath Place, Instruction: Head southwest on McGrath Place, Distance: 147.9 meters, Time: 106.5 seconds
Name: -, Instruction: Turn right, Distance: 152.0 meters, Time: 109.4 seconds
Name: Iando Way, Instruction: Turn right onto Iando Way, Distance: 51.2 meters, Time: 36.8 seconds
Name: Iando Way, Instruction: Keep left onto Iando Way, Distance: 67.2 meters, Time: 48.3 seconds
Name: Tramway Drive, Instruction: Turn sharp right onto Tramway Drive, Distance: 8.7 meters, Time: 6.3 seconds
Name: Lackey Place, Instruction: Turn left onto Lackey Place, Distance: 9.7 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 294.7 meters, Time: 212.2 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: Currans Hill Drive, Instruction: Turn left onto Currans Hill Drive, Distance: 17.1 meters, Time: 12.3 seconds
Name: William Mannix Avenue, Instruction: Turn right onto William Mannix Avenue, Distance: 327.5 meters, Time: 235.8 seconds
Name: -, Instruction: Turn right, Distance: 316.9 meters, Time: 228.2 seconds
Name: -, Instruction: Keep left, Distance: 54.1 meters, Time: 38.9 seconds
Name: -, Instruction: Keep left, Distance: 78.0 meters, Time: 56.1 seconds
Name: William Mannix Avenue, Instruction: Turn right onto William Mannix Avenue, Distance: 213.1 meters, Time: 153.5 seconds
Name: Turner Road, Instruction: Turn left onto Turner Road, Distance: 272.2 meters, Time: 196.0 seconds
Name: -, Instruction: Arrive at Turner Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
