Name: Edinburgh Road, Instruction: Head west on Edinburgh Road, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 133.3 meters, Time: 96.0 seconds
Name: -, Instruction: Keep right, Distance: 111.4 meters, Time: 80.2 seconds
Name: -, Instruction: Turn right, Distance: 425.3 meters, Time: 306.2 seconds
Name: -, Instruction: Turn left, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 493.4 meters, Time: 355.2 seconds
Name: -, Instruction: Turn left, Distance: 24.2 meters, Time: 17.4 seconds
Name: -, Instruction: Turn slight right, Distance: 78.4 meters, Time: 56.5 seconds
Name: -, Instruction: Turn right, Distance: 133.3 meters, Time: 96.0 seconds
Name: -, Instruction: Turn slight left, Distance: 172.0 meters, Time: 123.8 seconds
Name: Stewart Lane, Instruction: Turn right onto Stewart Lane, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn left, Distance: 206.3 meters, Time: 148.5 seconds
Name: -, Instruction: Continue straight, Distance: 32.1 meters, Time: 23.1 seconds
Name: -, Instruction: Turn left, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn right, Distance: 137.2 meters, Time: 98.8 seconds
Name: -, Instruction: Turn left, Distance: 201.9 meters, Time: 145.4 seconds
Name: -, Instruction: Turn left, Distance: 115.9 meters, Time: 83.5 seconds
Name: -, Instruction: Turn right, Distance: 132.7 meters, Time: 95.5 seconds
Name: -, Instruction: Turn right, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 37.3 meters, Time: 26.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
