Name: Bartil Close, Instruction: Head northwest on Bartil Close, Distance: 107.4 meters, Time: 77.4 seconds
Name: -, Instruction: Turn left, Distance: 102.7 meters, Time: 74.0 seconds
Name: -, Instruction: Turn right, Distance: 430.2 meters, Time: 309.8 seconds
Name: -, Instruction: Turn left, Distance: 18.0 meters, Time: 13.0 seconds
Name: -, Instruction: Turn right, Distance: 30.8 meters, Time: 22.2 seconds
Name: -, Instruction: Turn right, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 359.5 meters, Time: 258.9 seconds
Name: Langston Place, Instruction: Turn right onto Langston Place, Distance: 7.6 meters, Time: 5.5 seconds
Name: Epping Station Concourse, Instruction: Turn left onto Epping Station Concourse, Distance: 70.7 meters, Time: 50.9 seconds
Name: -, Instruction: Turn right, Distance: 7.5 meters, Time: 5.4 seconds
Name: Beecroft Road, Instruction: Turn sharp right onto Beecroft Road, Distance: 264.6 meters, Time: 190.5 seconds
Name: -, Instruction: Turn right, Distance: 16.3 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 88.0 meters, Time: 63.4 seconds
Name: Cliff Road, Instruction: Turn right onto Cliff Road, Distance: 281.5 meters, Time: 202.7 seconds
Name: Hazlewood Place, Instruction: Turn right onto Hazlewood Place, Distance: 71.9 meters, Time: 51.8 seconds
Name: Hazlewood Place, Instruction: Turn left onto Hazlewood Place, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Keep left, Distance: 74.7 meters, Time: 53.8 seconds
Name: -, Instruction: Keep left, Distance: 123.7 meters, Time: 89.1 seconds
Name: Kent Street, Instruction: Turn right onto Kent Street, Distance: 28.2 meters, Time: 20.3 seconds
Name: Delaware Street, Instruction: Turn left onto Delaware Street, Distance: 97.2 meters, Time: 69.9 seconds
Name: Wyvern Street, Instruction: Turn left onto Wyvern Street, Distance: 69.8 meters, Time: 50.2 seconds
Name: -, Instruction: Arrive at Wyvern Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
