Name: St Vincents Road, Instruction: Head northeast on St Vincents Road, Distance: 275.4 meters, Time: 198.3 seconds
Name: -, Instruction: Turn right, Distance: 254.8 meters, Time: 183.5 seconds
Name: -, Instruction: Turn left, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Turn right, Distance: 83.2 meters, Time: 59.9 seconds
Name: Anglo Lane, Instruction: Turn left onto Anglo Lane, Distance: 256.5 meters, Time: 184.7 seconds
Name: -, Instruction: Turn right, Distance: 713.9 meters, Time: 514.0 seconds
Name: -, Instruction: Continue straight, Distance: 36.8 meters, Time: 26.5 seconds
Name: -, Instruction: Turn left, Distance: 175.9 meters, Time: 126.6 seconds
Name: -, Instruction: Turn left, Distance: 15.9 meters, Time: 11.5 seconds
Name: Oxley Street, Instruction: Turn left onto Oxley Street, Distance: 166.5 meters, Time: 119.9 seconds
Name: -, Instruction: Turn right, Distance: 80.2 meters, Time: 57.7 seconds
Name: -, Instruction: Turn left, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn right, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 45.7 meters, Time: 32.9 seconds
Name: Zig Zag Lane, Instruction: Turn right onto Zig Zag Lane, Distance: 49.4 meters, Time: 35.6 seconds
Name: Hospital Lane, Instruction: Turn left onto Hospital Lane, Distance: 32.5 meters, Time: 23.4 seconds
Name: -, Instruction: Arrive at Hospital Lane, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
