Name: River Oak Circuit, Instruction: Head north on River Oak Circuit, Distance: 242.1 meters, Time: 174.3 seconds
Name: -, Instruction: Turn right, Distance: 142.9 meters, Time: 102.9 seconds
Name: -, Instruction: Turn left, Distance: 19.1 meters, Time: 13.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 260.0 meters, Time: 187.2 seconds
Name: -, Instruction: Turn left, Distance: 535.0 meters, Time: 385.2 seconds
Name: -, Instruction: Continue straight, Distance: 52.6 meters, Time: 37.9 seconds
Name: -, Instruction: Keep left, Distance: 19.4 meters, Time: 14.0 seconds
Name: -, Instruction: Turn left, Distance: 20.2 meters, Time: 14.5 seconds
Name: -, Instruction: Turn left, Distance: 26.2 meters, Time: 18.8 seconds
Name: -, Instruction: Turn right, Distance: 438.3 meters, Time: 315.6 seconds
Name: -, Instruction: Turn slight left, Distance: 191.0 meters, Time: 137.5 seconds
Name: Beaton Road, Instruction: Turn right onto Beaton Road, Distance: 52.5 meters, Time: 37.8 seconds
Name: Wanderers Way, Instruction: Turn left onto Wanderers Way, Distance: 245.1 meters, Time: 176.4 seconds
Name: -, Instruction: Arrive at Wanderers Way, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
