Name: Governors Drive, Instruction: Head south on Governors Drive, Distance: 62.4 meters, Time: 44.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 32.1 meters, Time: 23.1 seconds
Name: -, Instruction: Turn right, Distance: 79.4 meters, Time: 57.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 41.2 meters, Time: 29.7 seconds
Name: -, Instruction: Turn left, Distance: 1090.9 meters, Time: 785.5 seconds
Name: Tramway Route, Instruction: Turn left onto Tramway Route, Distance: 50.2 meters, Time: 36.2 seconds
Name: Tramway Route, Instruction: Continue straight onto Tramway Route, Distance: 834.4 meters, Time: 600.8 seconds
Name: Tramway Route, Instruction: Keep right onto Tramway Route, Distance: 104.9 meters, Time: 75.5 seconds
Name: -, Instruction: Turn left, Distance: 29.5 meters, Time: 21.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 39.0 meters, Time: 28.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
